date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
02:32:40	17233/17233	---M--	200	added ('OK')	image/jpeg	etag:%2263daf19c-4351%22	http://super-mario3d-world.net/assets/img/play-together/coop/players/4-players-1-system.jpg	C:/My%20Web%20Sites/Mario/super-mario3d-world.net/assets/img/play-together/coop/players/4-players-1-system.jpg	(from http://super-mario3d-world.net/play-together/)
02:32:45	30095/30095	---M--	200	added ('OK')	image/png	etag:%2263daf19c-758f%22	http://super-mario3d-world.net/assets/img/play-together/coop/players/console.png	C:/My%20Web%20Sites/Mario/super-mario3d-world.net/assets/img/play-together/coop/players/console.png	(from http://super-mario3d-world.net/play-together/)
02:32:47	13147/13147	---M--	200	added ('OK')	image/jpeg	etag:%2263daf19c-335b%22	http://super-mario3d-world.net/assets/img/play-together/coop/wireless/local-wireless.jpg	C:/My%20Web%20Sites/Mario/super-mario3d-world.net/assets/img/play-together/coop/wireless/local-wireless.jpg	(from http://super-mario3d-world.net/play-together/)
02:32:49	7537/7537	---M--	200	added ('OK')	image/png	etag:%2263daf19c-1d71%22	http://super-mario3d-world.net/assets/img/play-together/coop/wireless/switch-lite-blue.png	C:/My%20Web%20Sites/Mario/super-mario3d-world.net/assets/img/play-together/coop/wireless/switch-lite-blue.png	(from http://super-mario3d-world.net/play-together/)
02:32:50	7410/7410	---M--	200	added ('OK')	image/png	etag:%2263daf19c-1cf2%22	http://super-mario3d-world.net/assets/img/play-together/coop/wireless/handheld-mode.png	C:/My%20Web%20Sites/Mario/super-mario3d-world.net/assets/img/play-together/coop/wireless/handheld-mode.png	(from http://super-mario3d-world.net/play-together/)
02:32:52	7080/7080	---M--	200	added ('OK')	image/png	etag:%2263daf19c-1ba8%22	http://super-mario3d-world.net/assets/img/play-together/coop/wireless/switch-lite-yellow.png	C:/My%20Web%20Sites/Mario/super-mario3d-world.net/assets/img/play-together/coop/wireless/switch-lite-yellow.png	(from http://super-mario3d-world.net/play-together/)
02:32:55	18301/18301	---M--	200	added ('OK')	image/jpeg	etag:%2263daf19c-477d%22	http://super-mario3d-world.net/assets/img/play-together/coop/online/online.jpg	C:/My%20Web%20Sites/Mario/super-mario3d-world.net/assets/img/play-together/coop/online/online.jpg	(from http://super-mario3d-world.net/play-together/)
02:32:56	5989/5989	---M--	200	added ('OK')	image/png	etag:%2263daf19c-1765%22	http://super-mario3d-world.net/assets/img/play-together/coop/online/switch-lite-blue.png	C:/My%20Web%20Sites/Mario/super-mario3d-world.net/assets/img/play-together/coop/online/switch-lite-blue.png	(from http://super-mario3d-world.net/play-together/)
02:32:57	5490/5490	---M--	200	added ('OK')	image/png	etag:%2263daf19c-1572%22	http://super-mario3d-world.net/assets/img/play-together/coop/online/switch-lite.png	C:/My%20Web%20Sites/Mario/super-mario3d-world.net/assets/img/play-together/coop/online/switch-lite.png	(from http://super-mario3d-world.net/play-together/)
02:32:59	5973/5973	---M--	200	added ('OK')	image/png	etag:%2263daf19c-1755%22	http://super-mario3d-world.net/assets/img/play-together/coop/online/switch.png	C:/My%20Web%20Sites/Mario/super-mario3d-world.net/assets/img/play-together/coop/online/switch.png	(from http://super-mario3d-world.net/play-together/)
02:32:59	3968/3968	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2263daf19c-f80%22	http://super-mario3d-world.net/assets/img/play-together/coop/online/online-icon.svg	C:/My%20Web%20Sites/Mario/super-mario3d-world.net/assets/img/play-together/coop/online/online-icon.svg	(from http://super-mario3d-world.net/play-together/)
02:33:26	160874/160874	---M--	200	added ('OK')	image/png	etag:%2263daf19c-2746a%22	http://super-mario3d-world.net/assets/img/play-together/coop/decoration-2.png	C:/My%20Web%20Sites/Mario/super-mario3d-world.net/assets/img/play-together/coop/decoration-2.png	(from http://super-mario3d-world.net/play-together/)
02:33:37	382342/382342	---M--	200	added ('OK')	image/png	etag:%2263daf19c-5d586%22	http://super-mario3d-world.net/assets/img/play-together/captain-toad/character.png	C:/My%20Web%20Sites/Mario/super-mario3d-world.net/assets/img/play-together/captain-toad/character.png	(from http://super-mario3d-world.net/play-together/)
02:33:39	77757/77757	---M--	200	added ('OK')	image/png	etag:%2263daf19c-12fbd%22	http://super-mario3d-world.net/assets/img/play-together/coop/decoration-1.png	C:/My%20Web%20Sites/Mario/super-mario3d-world.net/assets/img/play-together/coop/decoration-1.png	(from http://super-mario3d-world.net/play-together/)
02:33:39	9228/9228	---M--	200	added ('OK')	image/png	etag:%2263daf19c-240c%22	http://super-mario3d-world.net/assets/img/play-together/decoration/decoration-1.png	C:/My%20Web%20Sites/Mario/super-mario3d-world.net/assets/img/play-together/decoration/decoration-1.png	(from http://super-mario3d-world.net/play-together/)
02:33:41	11803/11803	---M--	200	added ('OK')	image/png	etag:%2263daf19c-2e1b%22	http://super-mario3d-world.net/assets/img/play-together/decoration/decoration-3.png	C:/My%20Web%20Sites/Mario/super-mario3d-world.net/assets/img/play-together/decoration/decoration-3.png	(from http://super-mario3d-world.net/play-together/)
02:33:45	19932/19932	---M--	200	added ('OK')	image/png	etag:%2263daf19c-4ddc%22	http://super-mario3d-world.net/assets/img/play-together/decoration/decoration-4.png	C:/My%20Web%20Sites/Mario/super-mario3d-world.net/assets/img/play-together/decoration/decoration-4.png	(from http://super-mario3d-world.net/play-together/)
02:33:48	15150/15150	---M--	200	added ('OK')	image/png	etag:%2263daf198-3b2e%22	http://super-mario3d-world.net/assets/img/global/stickers/cat_peach.png	C:/My%20Web%20Sites/Mario/super-mario3d-world.net/assets/img/global/stickers/cat_peach.png	(from http://super-mario3d-world.net/play-together/)
02:33:51	11888/11888	---M--	200	added ('OK')	image/png	etag:%2263daf198-2e70%22	http://super-mario3d-world.net/assets/img/global/stickers/toad.png	C:/My%20Web%20Sites/Mario/super-mario3d-world.net/assets/img/global/stickers/toad.png	(from http://super-mario3d-world.net/play-together/)
02:33:53	88275/88275	---M--	200	added ('OK')	image/png	etag:%2263daf19c-158d3%22	http://super-mario3d-world.net/assets/img/play-together/decoration/decoration-2.png	C:/My%20Web%20Sites/Mario/super-mario3d-world.net/assets/img/play-together/decoration/decoration-2.png	(from http://super-mario3d-world.net/play-together/)
02:33:53	13725/13725	---M--	200	added ('OK')	image/png	etag:%2263daf198-359d%22	http://super-mario3d-world.net/assets/img/global/stickers/luigi.png	C:/My%20Web%20Sites/Mario/super-mario3d-world.net/assets/img/global/stickers/luigi.png	(from http://super-mario3d-world.net/play-together/)
02:33:54	1492/1492	---MCZ	200	added ('OK')	application/javascript	etag:W/%2263daf19c-5d4%22	http://super-mario3d-world.net/assets/js/runtime.js	C:/My%20Web%20Sites/Mario/super-mario3d-world.net/assets/js/runtime.js	(from http://super-mario3d-world.net/play-together/)
02:33:54	6016/6016	---M--	200	added ('OK')	image/png	etag:%2263daf198-1780%22	http://super-mario3d-world.net/assets/img/global/stickers/super_bell.png	C:/My%20Web%20Sites/Mario/super-mario3d-world.net/assets/img/global/stickers/super_bell.png	(from http://super-mario3d-world.net/play-together/)
02:33:54	1492/1492	---MCZ	200	added ('OK')	application/javascript	etag:W/%2263daf19c-5d4%22	http://super-mario3d-world.net/assets/js/runtime.es5.js	C:/My%20Web%20Sites/Mario/super-mario3d-world.net/assets/js/runtime.es5.js	(from http://super-mario3d-world.net/play-together/)
02:33:55	146/146	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2026%20Apr%202023%2019:33:57%20GMT	http://super-mario3d-world.net/assets/is/all.min.js	C:/My%20Web%20Sites/Mario/super-mario3d-world.net/assets/is/all.min.js	(from http://super-mario3d-world.net/play-together/)
02:33:58	41749/41749	---MCZ	200	added ('OK')	application/javascript	etag:W/%2263daf19c-a315%22	http://super-mario3d-world.net/assets/js/global.es5.js	C:/My%20Web%20Sites/Mario/super-mario3d-world.net/assets/js/global.es5.js	(from http://super-mario3d-world.net/play-together/)
02:33:58	68822/68822	---MCZ	200	added ('OK')	application/javascript	etag:W/%2263daf19c-10cd6%22	http://super-mario3d-world.net/assets/js/global.js	C:/My%20Web%20Sites/Mario/super-mario3d-world.net/assets/js/global.js	(from http://super-mario3d-world.net/play-together/)
02:33:59	146/146	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2026%20Apr%202023%2019:34:01%20GMT	http://super-mario3d-world.net/media.nintendo.com/share/nclood/stable/en-us/bundles/microsite.css	C:/My%20Web%20Sites/Mario/super-mario3d-world.net/media.nintendo.com/share/nclood/stable/en-us/bundles/microsite.css	(from http://super-mario3d-world.net/bowsers-fury/)
02:33:59	6259/6259	---MCZ	200	added ('OK')	text/css	etag:W/%2263daf192-1873%22	http://super-mario3d-world.net/assets/css/bowsers-fury.css	C:/My%20Web%20Sites/Mario/super-mario3d-world.net/assets/css/bowsers-fury.css	(from http://super-mario3d-world.net/bowsers-fury/)
02:34:03	18205/18205	---M--	200	added ('OK')	image/jpeg	etag:%2263daf194-471d%22	http://super-mario3d-world.net/assets/img/bowsers-fury/hero/bf-hero.jpg	C:/My%20Web%20Sites/Mario/super-mario3d-world.net/assets/img/bowsers-fury/hero/bf-hero.jpg	(from http://super-mario3d-world.net/bowsers-fury/)
02:37:21	1217953/1217953	---M--	200	added ('OK')	video/mp4	etag:%2263daf19c-1295a1%22	http://super-mario3d-world.net/assets/videos/bowsers-fury/background-m.mp4	C:/My%20Web%20Sites/Mario/super-mario3d-world.net/assets/videos/bowsers-fury/background-m.mp4	(from http://super-mario3d-world.net/bowsers-fury/)
02:37:25	25952/25952	---M--	200	added ('OK')	image/jpeg	etag:%2263daf194-6560%22	http://super-mario3d-world.net/assets/img/bowsers-fury/hero/bf-hero-m.jpg	C:/My%20Web%20Sites/Mario/super-mario3d-world.net/assets/img/bowsers-fury/hero/bf-hero-m.jpg	(from http://super-mario3d-world.net/bowsers-fury/)
02:37:55	1453922/1453922	---M--	200	added ('OK')	video/mp4	etag:%2263daf19c-162f62%22	http://super-mario3d-world.net/assets/videos/bowsers-fury/background.mp4	C:/My%20Web%20Sites/Mario/super-mario3d-world.net/assets/videos/bowsers-fury/background.mp4	(from http://super-mario3d-world.net/bowsers-fury/)
02:38:05	60660/60660	---M--	200	added ('OK')	image/jpeg	etag:%2263daf194-ecf4%22	http://super-mario3d-world.net/assets/img/bowsers-fury/hero/bf-hero-l.jpg	C:/My%20Web%20Sites/Mario/super-mario3d-world.net/assets/img/bowsers-fury/hero/bf-hero-l.jpg	(from http://super-mario3d-world.net/bowsers-fury/)
02:38:08	15308/15308	---M--	200	added ('OK')	image/png	etag:%2263daf194-3bcc%22	http://super-mario3d-world.net/assets/img/bowsers-fury/hero/bf-logo.png	C:/My%20Web%20Sites/Mario/super-mario3d-world.net/assets/img/bowsers-fury/hero/bf-logo.png	(from http://super-mario3d-world.net/bowsers-fury/)
02:38:10	6506/6506	---M--	200	added ('OK')	image/jpeg	etag:%2263daf192-196a%22	http://super-mario3d-world.net/assets/img/bowsers-fury/bowsers-fury-video-thumb.jpg	C:/My%20Web%20Sites/Mario/super-mario3d-world.net/assets/img/bowsers-fury/bowsers-fury-video-thumb.jpg	(from http://super-mario3d-world.net/bowsers-fury/)
02:38:12	7041/7041	---M--	200	added ('OK')	image/png	etag:%2263daf194-1b81%22	http://super-mario3d-world.net/assets/img/bowsers-fury/chars-cats/cat-1.png	C:/My%20Web%20Sites/Mario/super-mario3d-world.net/assets/img/bowsers-fury/chars-cats/cat-1.png	(from http://super-mario3d-world.net/bowsers-fury/)
